PeTe batch test script
Mutual1.pet,	Too Many in Critical,	Naive DFS with Hash,	Not satisfiable,	0.06,	13,	12,	0, 	16, 	0,	44108
Mutual5.pet,	Too Many in Critical,	Naive DFS with Hash,	Not satisfiable,	0.31,	26144,	26143,	0, 	130880, 	0,	202448
Mutual10.pet,	Too Many in Critical,	Naive DFS with Hash,	OutOfTime,	-,	-,	-,	-,	314580
Mutual15.pet,	Too Many in Critical,	Naive DFS with Hash,	OutOfTime,	-,	-,	-,	-,	717220
Mutual20.pet,	Too Many in Critical,	Naive DFS with Hash,	OutOfTime,	-,	-,	-,	-,	499236
Mutual25.pet,	Too Many in Critical,	Naive DFS with Hash,	OutOfTime,	-,	-,	-,	-,	591108
Mutual1.pet,	Too Many in Critical,	Naive BFS with Hash,	Not satisfiable,	0.07,	13,	12,	0, 	16, 	0,	44108
Mutual5.pet,	Too Many in Critical,	Naive BFS with Hash,	Not satisfiable,	0.35,	26144,	26143,	0, 	130880, 	0,	202504
Mutual10.pet,	Too Many in Critical,	Naive BFS with Hash,	OutOfTime,	-,	-,	-,	-,	318216
Mutual15.pet,	Too Many in Critical,	Naive BFS with Hash,	OutOfTime,	-,	-,	-,	-,	408552
Mutual20.pet,	Too Many in Critical,	Naive BFS with Hash,	OutOfTime,	-,	-,	-,	-,	496532
Mutual25.pet,	Too Many in Critical,	Naive BFS with Hash,	OutOfTime,	-,	-,	-,	-,	586468
Mutual1.pet,	Too Many in Critical,	DFS with Monotonicity,	Not satisfiable,	0.07,	5,	5,	0, 	11, 	1,	44108
Mutual5.pet,	Too Many in Critical,	DFS with Monotonicity,	Not satisfiable,	0.19,	114,	168,	0, 	960, 	55,	44108
Mutual10.pet,	Too Many in Critical,	DFS with Monotonicity,	Not satisfiable,	3.35,	1601,	1610,	0, 	26775, 	10,	294804
Mutual15.pet,	Too Many in Critical,	DFS with Monotonicity,	Not satisfiable,	14.11,	1158,	3045,	0, 	54868, 	1888,	387712
Mutual20.pet,	Too Many in Critical,	DFS with Monotonicity,	Not satisfiable,	79.98,	2189,	7519,	0, 	180937, 	5331,	480616
Mutual25.pet,	Too Many in Critical,	DFS with Monotonicity,	Not satisfiable,	225.11,	3379,	13120,	0, 	399048, 	9742,	573672
Mutual1.pet,	Too Many in Critical,	BFS with Monotonicity,	Not satisfiable,	0.06,	6,	5,	0, 	12, 	0,	44108
Mutual5.pet,	Too Many in Critical,	BFS with Monotonicity,	Not satisfiable,	0.66,	356,	450,	0, 	2735, 	95,	201908
Mutual10.pet,	Too Many in Critical,	BFS with Monotonicity,	Not satisfiable,	32.74,	1566,	1655,	0, 	26145, 	90,	294832
Mutual15.pet,	Too Many in Critical,	BFS with Monotonicity,	OutOfTime,	-,	-,	-,	-,	387552
Mutual20.pet,	Too Many in Critical,	BFS with Monotonicity,	OutOfTime,	-,	-,	-,	-,	480624
Mutual25.pet,	Too Many in Critical,	BFS with Monotonicity,	OutOfTime,	-,	-,	-,	-,	573544
Mutual1.pet,	Too Many in Critical,	BestFS with Hash,	Not satisfiable,	0.03,	13,	12,	0, 	16, 	0,	44108
Mutual5.pet,	Too Many in Critical,	BestFS with Hash,	Not satisfiable,	0.29,	26144,	26143,	0, 	130880, 	0,	44108
Mutual10.pet,	Too Many in Critical,	BestFS with Hash,	OutOfTime,	-,	-,	-,	-,	547992
Mutual15.pet,	Too Many in Critical,	BestFS with Hash,	OutOfTime,	-,	-,	-,	-,	403752
Mutual20.pet,	Too Many in Critical,	BestFS with Hash,	OutOfTime,	-,	-,	-,	-,	496532
Mutual25.pet,	Too Many in Critical,	BestFS with Hash,	OutOfTime,	-,	-,	-,	-,	589308
Mutual1.pet,	Too Many in Critical,	BestFS with Monotonicity,	Not satisfiable,	0.03,	6,	5,	0, 	12, 	0,	44108
